ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY
LHW,DYG,MU ,J,2340,C,CNY       
PVG,MIG,9C ,K,1570,/,CNY       
PVG,HDG,MU ,C,1880,C,CNY       
TAO,NKG,A6 ,C,1290,Y,CNY       
PVG,MIG,FM ,R,910,Y,CNY       
ZYI,PVG,MU ,D,2210,C,CNY       
LZO,NKG,MU ,L,900,Y,CNY       
WXN,PVG,FM ,R,850,Y,CNY       
KWE,LHW,CZ ,U,1020,Y,CNY       
DYG,XIY,3U ,T,680,Y,CNY       
WUH,HGH,CZ ,U,610,Y,CNY       
YCU,NGB,MU ,L,960,Y,CNY       
LZO,TAO,MU ,W,1930,Y,CNY       
WUT,PVG,FM ,N,890,Y,CNY       
KWE,LHW,EU ,F,3020,F,CNY       
NGB,KWE,CZ ,T,650,Y,CTP       
LZO,NKG,MF ,V,710,Y,CNY       
XIY,DYG,MU ,J,2230,C,CNY       
XIY,BAV,GJ ,Q,880,Y,CNY       
